Time	PickupX	PickupY	DropoffX	DropoffY
15	914.874001	-1050.682195	1477.578434	-1174.843689
23	1253.930728	-840.437293	1431.401473	-1366.626144
29	1486.539395	-1007.858103	1435.654743	-1243.622647
36	925.430811	-1148.86843	1252.909713	-1000.755008
64	1115.881401	-991.285018	1067.636266	-1261.64708
75	932.0578	-1152.38027	1631.969071	-1224.941799
99	1391.376888	-1152.369632	1341.116086	-833.025727
106	1560.085963	-1288.326168	1388.870196	-1218.31778
109	1174.09056	-1360.011763	1542.428117	-1327.165782
111	1337.740393	-1012.103594	1018.885769	-1110.425012
115	1388.908485	-829.404997	1219.694714	-1235.934338
120	1438.816225	-1245.124325	1384.349646	-1195.070645
123	853.5701	-1236.628629	981.798493	-866.132321
133	1213.419166	-1369.990663	1155.412557	-1147.680627
138	1221.585551	-1372.062731	946.717787	-1294.247699
142	1224.086182	-1253.390425	1070.341991	-1289.516042
148	1258.051257	-951.181473	1486.174773	-822.658203
149	1098.493719	-1132.148537	1436.054035	-1322.10903
154	897.429868	-1274.761777	1091.172858	-988.10471
161	1253.783648	-978.188606	1065.38559	-984.785557
163	1249.961631	-1000.210707	1380.588289	-1351.61705
171	1342.299286	-832.925677	1501.208259	-1274.76003
174	1133.706221	-1141.757373	1073.741136	-1324.527241
175	1229.941474	-1276.665209	1591.955667	-1113.428068
177	1241.402218	-1000.148166	1361.31158	-840.907804
180	1235.899499	-1300.348361	997.586223	-1311.830711
183	1554.584263	-1292.669722	1484.934487	-822.744234
185	940.510636	-946.992214	1272.816173	-882.93794
189	969.574227	-1223.521758	1193.698627	-846.124475
200	1460.565592	-1395.262499	1575.601859	-1060.132997
201	944.644401	-933.65143	907.758841	-1139.503523
203	1383.878342	-1298.662857	987.331133	-969.158582
210	1361.465046	-859.3238	1234.904168	-999.98899
212	1168.436359	-1151.23458	1317.025851	-1384.382021
213	1015.991591	-1109.635245	1134.188584	-1141.889001
216	1544.17656	-1000.056194	1339.770186	-878.39012
218	1224.208167	-1253.875317	1259.705641	-912.717035
220	1595.035881	-1123.46611	892.222779	-1131.270498
225	1225.215825	-843.148586	1298.924661	-1382.260788
226	1385.642153	-1270.273897	1222.45309	-1175.50243
